"Award_Identifier","Extending_Organization","Extending_Organization_Office","Accountable_Organization","Accountable_Organization_Office","Implementing_Organization","Implementing_Organization_Type","Implementing_Organization_Country","Implementing_Organization_DUNS_Number","Award_Title","Award_Description","Award_Status","Award_Collaboration_Type","Award_Total_Estimated_Value","Award_Interagency_Transfer_Status","Award_Start_Date","Award_End_Date","Recipient_Location","Award_Transaction_Description ","Award_Transaction_Value","Award_Transaction_Type","Award_Transaction_Date","Award_Transaction_Fiscal_Year","Award_Transaction_Fiscal_Quarter","Award_Transaction_Aid_Type","Award_Transaction_Tied_Status","Award_Transaction_Flow_Type","Award_Transaction_Finance_Type","Award_Transaction_DAC_Purpose_Code","Award_Transaction_DAC_Purpose_Code_Name","Award_Transaction_US_Foreign_Assistance_Code","Award_Transaction_US_Foreign_Assistance_Category","Award_Transaction_US_Foreign_Assistance_Sector","Treasury_Account_Codes","Treasury_Account_Title","Treasury_Account_Start_Fiscal_Year","Treasury_Account_End_Fiscal_Year","Data_Submission_Date"
"37fe46cb","Department of Defense","","Department of Defense","","Department of Defense","","","","","","","Bilateral","0","","","","Turkey","","825538","Disbursement","2010-10-01 00:00:00","2011","1","Project-type interventions","Partially tied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1001","Peace and Security","Counter-Terrorism"," ","","0","0","2014-05-31 00:00:00"
"00fdc90f","Department of Defense","","Department of Defense","","Department of Defense","","","","","","","Bilateral","0","","","","Turkey","","665949","Disbursement","2011-10-01 00:00:00","2012","1","Project-type interventions","Partially tied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1001","Peace and Security","Counter-Terrorism"," ","","0","0","2014-05-31 00:00:00"
"dcf1b0c0","Department of Defense","","Department of Defense","","Department of Defense","","","","","","","Bilateral","0","","","","Turkey","","692781","Disbursement","2012-10-01 00:00:00","2013","1","Project-type interventions","Partially tied","ODA","Aid grant excluding debt reorganisation","15220","Civilian peace-building, conflict prevention and resolution","1001","Peace and Security","Counter-Terrorism"," ","","0","0","2014-05-31 00:00:00"
"d6fdc2fb","Department of Defense","","Department of Defense","","Department of Defense","","","","","","","Bilateral","0","","","","Turkey","","391","Disbursement","2010-10-01 00:00:00","2011","1","Project-type interventions","Partially tied","ODA","Aid grant excluding debt reorganisation","15210","Security system management and reform","1003","Peace and Security","Stabilization Operations and Security Sector Reform"," ","","0","0","2014-05-31 00:00:00"
"bba5184e","Department of Defense","","Department of Defense","","Department of Defense","","United States","","International Counter-drug Program (ICDP)","Counternarcotics Activities - Provide defense articles and services to selected countries for counternarcotics (C/N) and counter transnational organized crime purposes","Implementation","Bilateral","0","Direct Appropriation","2014-10-01 00:00:00","2015-09-30 00:00:00","Turkey","","97000","Commitment","2015-09-30 00:00:00","2015","4","Contributions to specific-purpose programmes and funds managed by international organisations (multilateral, INGO)","Partially tied","ODA","Aid grant excluding debt reorganisation","99810","Sectors not specified","1004","Peace and Security","Counter-Narcotics","97 0105","Drug Interdiction and Counter-Drug Activities, Defense","0","0","2015-12-09 00:00:00"
"e7478352","Department of Defense","","Department of Defense","","Department of Defense","","United States","","Combating Terrorism Fellowship Program","Training and education for mid- to senior-level security officials","Implementation","Multilateral","0","Direct Appropriation","2014-10-01 00:00:00","2015-09-30 00:00:00","Turkey","","747159","Disbursement","2015-09-30 00:00:00","2015","4","Contributions to specific-purpose programmes and funds managed by international organisations (multilateral, INGO)","Partially tied","ODA","Aid grant excluding debt reorganisation","99810","Sectors not specified","1005","Peace and Security","Transnational Crime","97 0118","Overseas Contingency Operations Transfer Fund, Defense","0","0","2015-09-30 00:00:00"
"9000032008","Overseas Private Investment Corporation","","Overseas Private Investment Corporation","","WBC -- Nurolbank (Subordinated)","","Turkey","600797117","WBC -- Nurolbank (Subordinated)","To Fund the expansion of the bank's lending to factoring companies that provide financing to SMEs http://go.usa.gov/cJcbR","Implementation","Bilateral","4875000","Direct Appropriation","2016-03-23 00:00:00","2026-06-01 00:00:00","Turkey","","4875000","Commitment","2016-03-23 00:00:00","2016","2","Project-type interventions","Untied","OOF","Loan to national private investor","24030","Formal sector financial intermediaries","5003","Economic Development","Financial Sector","71 2749","Overseas Private Investment Corporation Loans, Negative Subsidies","2016","2018","2016-08-29 00:00:00"
"9000031202","Overseas Private Investment Corporation","","Overseas Private Investment Corporation","","General Electric","","Turkey","533121404","Kocaeli Hastane Yatirim ve Saglik Hizmetleri A.S.","Construction and operation of a health campus http://go.usa.gov/x8qXh","Implementation","Bilateral","250000000","Direct Appropriation","2016-07-27 00:00:00","2024-07-27 00:00:00","Turkey","","250000000","Commitment","2016-07-27 00:00:00","2016","4","Project-type interventions","Untied","OOF","Loan to national private investor","12230","Basic health infrastructure","3000","Health","Health - General","71 2749","Overseas Private Investment Corporation Loans, Negative Subsidies","2016","2018","2016-11-14 00:00:00"
"9000031519","Overseas Private Investment Corporation","","Overseas Private Investment Corporation","","WBC - Nurolbank (Senior)","","Turkey","600797117","WBC - Nurolbank (Senior)","To project supports the bank's lending to service SMEs http://go.usa.gov/cJcbR","Implementation","Bilateral","4875000","Direct Appropriation","2016-03-23 00:00:00","2026-06-01 00:00:00","Turkey","","4875000","Commitment","2016-03-23 00:00:00","2016","2","Project-type interventions","Untied","OOF","Loan to national private investor","24030","Formal sector financial intermediaries","5003","Economic Development","Financial Sector","71 2749","Overseas Private Investment Corporation Loans, Negative Subsidies","2016","2018","2016-08-29 00:00:00"
"9000031200","Overseas Private Investment Corporation","","Overseas Private Investment Corporation","","General Electric","","Turkey","533121400","Izmir Bayrakli Hastane Yatirim ve Saglik Hizmetler","Construction and operation of a health campus http://go.usa.gov/x8qXS","Implementation","Bilateral","250000000","Direct Appropriation","2016-07-27 00:00:00","2024-07-27 00:00:00","Turkey","","250000000","Commitment","2016-07-27 00:00:00","2016","4","Project-type interventions","Untied","OOF","Loan to national private investor","12230","Basic health infrastructure","3000","Health","Health - General","71 2749","Overseas Private Investment Corporation Loans, Negative Subsidies","2016","2018","2016-11-14 00:00:00"
